,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,Saint Anthony,45.02,-93.22,89.27599999999998,58,1,3.1,US,1595094280
77,Jalu,29.03,21.55,91.20199999999997,20,0,4.21,LY,1595094281
78,Hastings,50.86,0.57,72.26600000000002,82,37,9.3,GB,1595094281
79,Tokur,53.13,132.9,62.41999999999996,94,77,1.09,RU,1595094281
80,Souillac,-20.52,57.52,70.06999999999996,64,40,6.7,MU,1595094281
81,Barrow,71.29,-156.79,35.86999999999996,93,90,7.7,US,1595094281
82,Trincomalee,8.57,81.23,83.40800000000002,77,100,2.39,LK,1595094281
83,Bowen,-20.02,148.23,61.26799999999999,93,40,2.1,AU,1595094281
84,Vanavara,60.34,102.28,44.69000000000002,96,63,2.38,RU,1595094281
85,Puerto Ayora,-0.74,-90.35,75.46999999999997,73,40,7.7,EC,1595094281
86,Distrikt Brokopondo,4.75,-55.17,88.05199999999998,56,11,0.79,SR,1595094281
87,Bose,45.46,8.01,80.27599999999998,65,17,1.34,IT,1595094281
88,Srednekolymsk,67.45,153.68,46.65199999999997,78,0,3.01,RU,1595094281
89,Mataura,-46.19,168.86,31.261999999999954,94,0,1.12,NZ,1595094281
90,Tasiilaq,65.61,-37.64,52.069999999999965,62,40,4.1,GL,1595094281
91,Maryville,35.76,-83.97,93.27200000000005,46,40,4.1,US,1595094147
92,Busselton,-33.65,115.33,49.26199999999996,95,58,2.86,AU,1595094281
93,Yaan,7.38,8.57,75.91999999999996,91,54,1.77,NG,1595094281
94,Cape Town,-33.93,18.42,59.26999999999996,87,0,1.5,ZA,1595094192
95,Luanda,-8.84,13.23,71.86999999999996,88,0,4.1,AO,1595093748
96,Guiratinga,-16.35,-53.76,88.95199999999997,25,0,3.14,BR,1595094281
97,Goya,-29.14,-59.26,86.01799999999999,38,0,6.13,AR,1595094281
98,Clyde River,70.47,-68.59,44.86999999999996,81,75,8.7,CA,1595094281
99,Yar-Sale,66.83,70.83,51.29600000000005,93,100,5.29,RU,1595094282
100,Cidreira,-30.18,-50.21,71.40199999999999,74,26,4.68,BR,1595094282
101,Sneek,53.03,5.66,70.26799999999999,82,22,0.45,NL,1595094282
102,Alegrete,-29.78,-55.79,79.28599999999997,67,0,6.55,BR,1595094282
103,Faya,18.39,42.45,80.86999999999996,31,40,3.1,SA,1595094282
104,Taltal,-25.4,-70.48,61.969999999999956,60,20,2.63,CL,1595094282
105,Kiruna,67.86,20.23,64.66999999999996,52,15,1.5,SE,1595094282
106,Inverell,-29.78,151.12,42.27799999999996,67,4,1.58,AU,1595094282
107,Rodrigues Alves,-7.74,-72.65,90.28399999999999,43,15,0.79,BR,1595094282
108,São João da Barra,-21.64,-41.05,79.06999999999996,47,75,3.1,BR,1595094282
109,Ust'-Uda,54.17,103.03,46.58000000000004,82,58,1.84,RU,1595094282
110,Valdivia,-39.81,-73.25,52.069999999999965,100,90,2.6,CL,1595094282
111,Sovetskaya Gavan',48.97,140.29,60.00800000000001,96,41,0.79,RU,1595094282
112,Cherskiy,68.75,161.3,56.87599999999999,71,0,0.63,RU,1595094282
113,Norman Wells,65.28,-126.83,66.46999999999997,72,75,5.1,CA,1595094282
114,Saint George,37.1,-113.58,96.27799999999996,16,1,1.5,US,1595094073
115,Markivka,49.52,39.57,62.38399999999999,87,13,2.34,UA,1595094282
116,Meulaboh,4.14,96.13,78.87200000000004,85,99,1.85,ID,1595094282
117,Tuatapere,-46.13,167.68,35.50999999999998,81,0,1.71,NZ,1595094282
118,Poronaysk,49.22,143.12,59.99000000000002,95,74,1.45,RU,1595094283
119,Pisco,-13.7,-76.22,64.66999999999996,68,20,4.6,PE,1595094283
120,Son La,21.32,103.9,72.24800000000002,89,100,0.63,VN,1595094283
121,Esperance,-33.87,121.9,50.26999999999996,100,75,3.6,AU,1595094283
122,Hobart,-42.88,147.33,51.27799999999996,71,75,5.1,AU,1595094007
123,Nampula,-15.12,39.27,62.86999999999996,87,19,3.02,MZ,1595094283
124,Coquimbo,-29.95,-71.34,57.469999999999956,71,100,4.1,CL,1595094283
